,id,opportunity_count,credit,debit,debit_limit,total_invoiced,customer_rank,credit_limit,sale_order_count
count,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
mean,48.98863636363637,0.8295454545454546,14884.425,2606.433636363636,141594.9090909091,17128.46363636364,0.38636363636363635,145481.31818181818,0.6931818181818182
std,26.1162275347696,2.063484336530214,57055.738710922175,12992.867534988269,264901.69756309176,59824.78885555332,1.1688664140246738,253769.05810949975,2.1137641673251824
min,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,26.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,71.25,0.25,0.0,0.0,108582.75,0.0,0.0,211107.25,0.0
max,93.0,14.0,463344.0,113280.0,944505.0,463344.0,9.0,950157.0,17.0
